date,site,depth,quadrat,species,quad_size,biomass,weight,Total Length,Blade Length,Diameter,F_group,Notes,lat,long,region,exposure,coastal
7/8/16,Damariscove Island South,5,1,Chondrus,0.25,61.156,244.6,,,,F4,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,1,Corallina,0.25,13.264,53.1,,,,F6,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,1,L. digitata,1,7082,7082,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,1,Polysiphonia,0.25,7.336,29.3,,,,F2.5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,1,Unknown,0.25,2.287,9.1,,,,F3.5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,2,Chondrus,0.25,78.542,314.2,,,,F4,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,2,Corallina,0.25,0.121,0.5,,,,F6,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,2,Desmarestia,0.25,52.486,209.9,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,2,L. digitata,1,4795,4795,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,2,Polysiphonia,0.25,48.917,195.7,,,,F2.5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,2,Unknown,0.25,0.806,3.2,,,,F3.5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,3,Chondrus,0.25,118.028,472.1,,,,F4,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,3,Corallina,0.25,16.843,67.4,,,,F6,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,3,L. digitata,1,5026,5026,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,3,Polysiphonia,0.25,4.697,18.8,,,,F2.5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,3,Unknown,0.25,0.383,1.5,,,,F3.5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,4,Chondrus,0.25,62.173,248.7,,,,F4,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,4,Corallina,0.25,3.451,13.8,,,,F6,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,5,4,L. digitata,1,8912,8912,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,1,Agarum,1,31.17,31.2,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,1,Chondrus,0.25,17.227,68.9,,,,F4,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,1,Desmarestia,0.25,0.235,0.9,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,1,L. digitata,1,711.038,711,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,1,Phycodrys,0.25,0.1,0.4,,,,F4,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,1,Polysiphonia,0.25,4.325,17.3,,,,F2.5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,2,Chondrus,0.25,36.25,145,,,,F4,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,2,Desmaresita,0.25,1.234,4.9,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,2,L. digitata,1,1184.001,1184,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,2,Phycodrys,0.25,1.825,7.3,,,,F4,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,2,Rhodomella,0.25,4.39,17.6,,,,F3.5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,3,Agarum,1,103.547,103.5,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,3,Chondrus,0.25,25.428,101.7,,,,F4,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,3,Desmarestia,0.25,0.488,2,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,3,L. digitata,1,744.061,744.1,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,3,Phycodrys,0.25,43.076,172.3,,,,F4,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,3,Polysiphonia,0.25,0.478,1.9,,,,F2.5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,3,Ptilota,0.25,0.439,1.8,,,,F3.5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,3,Unknown,0.25,21.21,84.8,,,,F3.5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,4,Agarum,1,56.9,56.9,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,4,Chondrus,0.25,58.8,235.2,,,,F4,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,4,L. digitata,1,727.703,727.7,,,,F5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,4,Phycodrys,0.25,20.28,81.1,,,,F4,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,4,Polysiphonia,0.25,4.61,18.4,,,,F2.5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,4,Ptilota,0.25,1.73,6.9,,,,F3.5,,43.7524,-69.6106,PEM,5,4
7/8/16,Damariscove Island South,10,4,Rhodomella,0.25,3.47,13.9,,,,F3.5,,43.7524,-69.6106,PEM,5,4
7/11/16,New Harbor Ledge,5,1,Agarum,1,9,9,,,,F5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,1,Chaetomorpha,0.25,1,4,,,,F2,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,1,Chondrus,0.25,127,508,,,,F4,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,1,Chondrus,0.25,1,4,,,,F4,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,1,Corallina,0.25,93,372,,,,F6,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,1,Desmarestia,1,420,420,,,,F5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,1,Phycodrys,0.25,3,12,,,,F4,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,1,Polysiphonia,0.25,100,400,,,,F2.5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,1,Porphyra,0.25,37,148,,,,F3,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,1,Rhodomella,0.25,6,24,,,,F3.5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,1,S. latisima,1,59,59,,,,F5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,1,Ulva,0.25,1,4,,,,F3,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,2,Agarum,1,36,36,,,,F5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,2,Callophyllus,0.25,6,24,,,,F4,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,2,Chondrus,0.25,133,532,,,,F4,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,2,Corallina,0.25,15,60,,,,F6,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,2,Desmaresita,1,139,139,,,,F5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,2,Polysiphonia,0.25,19,76,,,,F2.5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,2,Ptilota,0.25,1,4,,,,F3.5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,2,Rhodomella,0.25,14,56,,,,F3.5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,2,S. latisima,1,25,25,,,,F5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,2,Ulva,0.25,1,4,,,,F3,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,3,Chaetomorpha,0.25,1,4,,,,F2,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,3,Chondrus,0.25,108,432,,,,F4,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,3,Desmarestia,1,181,181,,,,F5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,3,Polysiphonia,0.25,20,80,,,,F2.5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,3,Porphyra,0.25,73,292,,,,F3,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,3,Rhodomella,0.25,8,32,,,,F3.5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,3,S. latisima,1,1,1,,,,F5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,4,Agarum,1,6,6,,,,F5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,4,Alaria,1,21,21,,,,F5,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,4,Callophyllus,0.25,1,4,,,,F4,,43.8666,-69.4805,PEM,4,3
7/11/16,New Harbor Ledge,5,4,Chondrus,0.25,168,672,,,,F4,,43.8666,-69.4805,PEM,4,3
