year,region,exposure.code,coastal.code,latitude,longitude,depth,crust,understory,kelp,urchin,month,day,survey,site,desm
2001,york,4,3,43.06709,-70.66749,5,60,100,1.9,0,6,13,rasher_steneck,42,NA
2001,york,4,3,43.28014,-70.55645,5,75.5,100,0,0,6,13,rasher_steneck,47,NA
2001,york,4,3,43.40849,-70.38046,5,73.5,80,18.5,0,6,14,rasher_steneck,56,NA
2001,york,4,4,43.50783,-70.32038,5,63.5,82,0.6,0,6,14,rasher_steneck,61,NA
2001,york,4,3,43.52791,-70.30401,5,72.5,69,63.5,0,6,14,rasher_steneck,62,NA
2001,casco.bay,3,3,43.75199,-69.9342,5,31.5,96.5,7.7,0,6,15,rasher_steneck,70,NA
2001,midcoast,3,3,43.80221,-69.63056,5,18.4,75,9.8,0,6,5,rasher_steneck,9,NA
2001,midcoast,3,4,43.78165,-69.61044,5,12,77.5,4.2,0,6,5,rasher_steneck,8,NA
2001,midcoast,3,3,43.90658,-69.30775,5,78,98,0,0.1,6,18,rasher_steneck,75,NA
2001,midcoast,3,3,43.90006,-69.28716,5,20.5,39.5,52,0,6,18,rasher_steneck,76,NA
2001,penobscot.bay,3,3,43.91638,-69.21494,5,100,15.2,9.2,26,6,19,rasher_steneck,84,NA
2001,penobscot.bay,4,3,43.97099,-69.09692,5,99.5,73.5,18.3,4.7,6,19,rasher_steneck,83,NA
2001,mdi,3,4,44.13106,-68.40311,5,57,56,67,0,7,5,rasher_steneck,158,NA
2001,downeast,4,3,44.38911,-67.96743,5,5,0.2,100,0.4,7,10,rasher_steneck,167,NA
2001,downeast,4,3,44.38902,-67.96101,5,85.5,5.9,62,16.7,7,10,rasher_steneck,166,NA
2001,downeast,3,3,44.40725,-67.96043,5,87,55.5,21.5,0,7,10,rasher_steneck,164,NA
2001,downeast,3,3,44.41131,-67.91079,5,62,14.7,93.5,0,7,10,rasher_steneck,169,NA
2001,downeast,3,3,44.41121,-67.88523,5,100,6.8,32.2,7.9,7,17,rasher_steneck,209,NA
2001,downeast,4,4,44.39758,-67.8667,5,63.5,0.6,97.5,0.1,7,17,rasher_steneck,208,NA
2001,downeast,4,4,44.40659,-67.86653,5,48,54,58.5,0,7,17,rasher_steneck,210,NA
