year,month,day,region,site,coastal.code,exposure.code,latitude,longitude,depth,kelp,desm,understory,crust,urchin,desm_to_desm_plus_kelp
2016,8,29,downeast,little.drisko.island,4,3,44.4827,-67.667,10,36.22222222222222,0.11111111111111109,9,NA,0,0.30581039755351674
2016,8,29,downeast,petit.manan.island,5,5,44.3663,-67.8696,10,47.06666666666667,0,5.533333333333333,NA,0,0
2016,8,30,downeast,little.drisko.island,4,3,44.4827,-67.667,5,88.1875,0.875,38.875,NA,0,0.9824561403508772
2016,8,30,downeast,petit.manan.island,5,5,44.3663,-67.8696,5,78.92857142857143,2,38.78571428571429,NA,0,2.471315092674316
2016,8,30,mdi,baker.island,4,4,44.2371,-68.2048,10,41,1.3846153846153846,9.307692307692308,NA,0,3.2667876588021776
2016,8,31,mdi,baker.island,4,4,44.2371,-68.2048,5,83.375,0.75,13.25,NA,0,0.8915304606240713
2016,8,31,mdi,great.cranberry.island,4,4,44.2376,-68.2452,5,53.78571428571429,0,17.5,NA,0,0
2016,8,31,mdi,great.cranberry.island,4,4,44.2376,-68.2452,10,49.375,0.1875,25.125,NA,0,0.37831021437578816
2016,9,2,midcoast,monhegan.island,5,4,43.7679,-69.3224,5,12.857142857142856,0.14285714285714288,63.42857142857143,NA,0.14285714285714288,1.0989010989010992
2016,9,2,midcoast,monhegan.island,5,5,43.76008,-69.3105,10,5.8125,0.0625,72.31875,NA,0,1.0638297872340425
2017,7,4,mdi,great.duck.island,5,5,44.146,-68.253,10,1,1.3333333333333333,5.333333333333333,NA,0,57.14285714285715
2017,7,6,downeast,sheep.island,3,4,44.3962,-67.9562,5,53,1.5,17.025,NA,0,2.7522935779816518
2017,7,6,downeast,sheep.island,3,4,44.3962,-67.9562,10,0.7142857142857143,1,3.9428571428571426,NA,0,58.33333333333333
2017,7,6,downeast,western.island,3,4,44.389,-67.967266,10,1.142857142857143,1.4285714285714286,9.071428571428571,NA,0,55.55555555555556
2017,7,9,downeast,eastern.island,3,3,44.4051,-67.9366,5,85,1,16.6,NA,0,1.1627906976744187
2017,7,10,downeast,moulton.ledge,4,5,44.3644,-67.9344,10,1.6666666666666667,0.33333333333333337,4.533333333333333,NA,1,16.666666666666668
2017,7,12,downeast,moulton.ledge,4,5,44.3644,-67.9344,5,70.25,2,14.25,NA,0,2.768166089965398
2017,7,13,mdi,little.moose.island,3,4,44.3345,-68.0525,10,10.166666666666666,12.833333333333332,40.733333333333334,NA,0,55.79710144927535
2017,7,28,penobscot.bay,hurricane.island,4,4,44.0304,-68.8893,10,16.5,3.5,26.775,NA,0,17.5
2017,7,29,penobscot.bay,greens.island,4,5,44.0246,-68.8612,5,30.5,0,68.6625,NA,0.125,0
2017,7,29,penobscot.bay,greens.island,4,5,44.0246,-68.8612,10,2.375,4.75,15.875,NA,0,66.66666666666666
2017,7,29,penobscot.bay,hurricane.island,4,4,44.0304,-68.8893,5,29.571428571428573,1.5714285714285716,65.14285714285714,NA,0,5.045871559633028
2017,7,31,penobscot.bay,eastern.ear.island.IAH,4,3,44.0149,-68.6078,5,76.42857142857143,0,50.028571428571425,NA,0,0
2017,7,31,penobscot.bay,eastern.ear.island.IAH,4,3,44.0149,-68.6078,10,17,3.166666666666667,50.516666666666666,NA,0,15.702479338842975
2017,7,31,penobscot.bay,western.ear.island.IAH,5,5,44.005,-68.65243,10,7.333333333333333,3,8.016666666666666,NA,0,29.03225806451613
2017,8,1,mdi,great.spoon.island,4,4,44.0468,-68.5585,5,52.857142857142854,3.857142857142857,32.142857142857146,NA,0,6.801007556675064
2017,8,1,mdi,great.spoon.island,4,4,44.0468,-68.5585,10,36.2,6.2,21.82,NA,0,14.622641509433961
2017,8,2,mdi,marshall.island.south,5,4,44.0963,-68.5045,5,70.875,1.125,50.0625,NA,0,1.5625
2017,8,3,penobscot.bay,kimball.island,4,4,44.0731,-68.6709,5,81.75,3.75,12.6625,NA,0,4.385964912280701
2017,8,3,penobscot.bay,kimball.island,4,4,44.0731,-68.6709,10,6.142857142857143,3.4285714285714284,13.285714285714286,NA,0,35.82089552238806
2017,8,3,penobscot.bay,merchant.island,4,4,44.1057,-68.6536,5,69.5,0.75,19.825,NA,0,1.0676156583629894
2017,8,4,penobscot.bay,gooseberry.island,3,3,44.1193,-68.6065,5,57.75,4.75,52.2625,NA,0,7.6
2017,8,22,downeast,steele.harbor.island,4,4,44.4822,-67.5276,5,24.25,3.375,38.625,NA,0,12.217194570135746
2017,8,22,downeast,steele.harbor.island,4,4,44.4822,-67.5276,10,0.375,0,5.65,NA,0,0
2017,8,24,mdi,marshall.island.east,4,4,44.1156,-68.4919,5,52.57142857142857,0,24.642857142857142,NA,0,0
