year,region,temp_source,mean_temp_spring,mean_temp_summer,max_temp_spring,max_temp_summer,min_temp_spring,min_temp_summer,degree_heat_days_15_spring,degree_heat_days_15_summer,degree_heat_days_20_spring,degree_heat_days_20_summer
1982,casco.bay,casco,4.412278605348837,14.881757049500001,10.35,19.44583333,2.9875,9.091666667,0,46,0,0
1983,casco.bay,casco,3.0737922703333336,15.047748159815217,3.108333333,18.81666667,3.013043478,9.633333333,0,53,0,0
1984,casco.bay,casco,2.6621138455714286,17.173018069130435,3.205,19.53333333,2.283333333,14.75652174,0,45,0,0
1985,casco.bay,casco,4.114711790032609,13.547788276923914,9.333333333,18.15,1.617391304,8.325,0,34,0,0
1986,casco.bay,casco,NA,7,NA,7,NA,7,NA,0,NA,0
1987,casco.bay,casco,5.138644410014287,14.8712409425,12.21666667,18.35,2.404166667,10.35,0,45,0,0
1988,casco.bay,casco,5.193186830554348,14.706003859141305,11.0875,17.9826087,2.358333333,9.3375,0,51,0,0
1989,casco.bay,casco,4.961575048728261,14.95700655273913,11.93333333,18.09583333,1.254166667,8.481818182,0,57,0,0
1990,casco.bay,casco,4.471706483891304,15.035023292097826,9.1125,19.62083333,2.12173913,8.8875,0,47,0,0
1991,casco.bay,casco,5.830003544326086,14.841691140184782,12.66666667,17.94583333,2.404166667,9.647826087,0,50,0,0
1992,casco.bay,casco,5.1037472255675675,14.108934811054347,10.17916667,17.52272727,2.279166667,8.804166667,0,33,0,0
1993,casco.bay,casco,4.696323108195652,14.432035501869565,11.09166667,18.69583333,0.3,8.379166667,0,50,0,0
1994,casco.bay,casco,4.618016635206522,14.940299915293478,9.254166667,18.46086957,0.854166667,7.666666667,0,54,0,0
1995,casco.bay,casco,5.351869029987499,15.250260461195651,10.60416667,18.33333333,2.420833333,10.25,0,57,0,0
1996,casco.bay,casco,5.481144383282609,14.54373764826087,12.81666667,17.6625,1.508333333,10.80416667,0,41,0,0
1997,casco.bay,casco,4.9613722544782615,14.507011640804349,9.833333333,17.55,3.034782609,9.733333333,0,52,0,0
1998,casco.bay,casco,5.774731608868131,14.39780939219178,11.65833333,19.525,1.941666667,7.9125,0,36,0,0
1999,casco.bay,casco,9.801105696862068,15.509297923152173,12.80833333,19.025,6.2625,12.04583333,0,56,0,0
2000,casco.bay,casco,6.039703449847825,14.841893115945652,11.825,17.57083333,2.770833333,9.829166667,0,54,0,0
2001,casco.bay,casco,5.640945046532609,15.08341603677174,10.68333333,18.65,2.204166667,9.4125,0,49,0,0
2001,downeast,noaa44027.1m,NA,12.143680836750434,NA,14.3413342178926,NA,11.063478327375472,NA,0,NA,0
2001,mdi,I01.1m,NA,11.654545454545454,NA,13.8,NA,10.6,NA,0,NA,0
2001,midcoast,E01.1m,NA,15.885454545454545,NA,18.4,NA,13.8,NA,43,NA,0
2001,penobscot.bay,F01.1m,NA,14.176363636363636,NA,15.8,NA,11.8,NA,11,NA,0
2001,york,B01.1mc,NA,17.267272727272726,NA,20.5,NA,14.1,NA,46,NA,3
