year,date,site,region,exposure.code,coastal.code,latitude,longitude,depth,quadrat,time,sand,pebble,rock,cobble,boulder,ledge,sac,alar,agar,ldig,sder,desm,kelp,ulva,chaet,codm,poly,rhod,ptilo,porph,palm,phyc,ccrisp,callo,phyll,coral,bonne,cystoc,crust,urchin
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,1,12:15,nr,nr,nr,nr,nr,nr,0,0,8,0,0,1,8,0,0,0,12,0,0,5,0,8,1,nr,nr,4,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,2,12:15,nr,nr,nr,nr,nr,nr,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,4,34,nr,nr,1,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,3,12:15,nr,nr,nr,nr,nr,nr,0,0,0,24,0,0,24,0,0,0,10,0,0,0,0,5,36,nr,nr,9,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,4,12:15,nr,nr,nr,nr,nr,nr,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,85,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,5,12:15,nr,nr,nr,nr,nr,nr,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,89,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,6,12:15,nr,nr,nr,nr,nr,nr,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,91,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,7,12:15,nr,nr,nr,nr,nr,nr,0,0,1,2,0,0,3,0,0,0,0,0,0,1,0,3,93,nr,nr,1,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,8,12:15,nr,nr,nr,nr,nr,nr,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,98,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,9,12:15,nr,nr,nr,nr,nr,nr,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,96,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,10,12:15,nr,nr,nr,nr,nr,nr,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,97,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,11,12:15,nr,nr,nr,nr,nr,nr,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,98,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,12,12:15,nr,nr,nr,nr,nr,nr,0,0,0,0,0,7,0,0,0,0,52,0,0,4,0,9,39,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,13,12:15,nr,nr,nr,nr,nr,nr,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,94,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,14,12:15,nr,nr,nr,nr,nr,nr,0,0,0,16,0,0,16,0,0,0,42,0,0,3,0,19,37,nr,nr,7,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,15,12:15,nr,nr,nr,nr,nr,nr,0,0,3,0,0,9,3,0,0,0,43,0,0,4,0,15,52,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,16,12:15,nr,nr,nr,nr,nr,nr,0,0,0,3,0,5,3,0,0,0,23,0,0,7,0,32,67,nr,nr,7,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,17,12:15,nr,nr,nr,nr,nr,nr,0,0,0,0,0,0,0,0,0,0,27,0,7,11,0,5,87,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,18,12:15,nr,nr,nr,nr,nr,nr,0,0,0,0,0,0,0,0,0,0,17,0,5,14,0,16,89,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,19,12:15,nr,nr,nr,nr,nr,nr,0,0,0,0,0,0,0,0,0,0,28,0,10,4,0,5,94,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,5,20,12:15,nr,nr,nr,nr,nr,nr,0,0,0,0,0,0,0,0,0,0,23,0,12,15,0,13,92,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,1,12:15,nr,nr,nr,nr,nr,nr,0,0,24,32,0,0,56,0,0,0,2,0,0,0,0,7,9,nr,nr,0,nr,nr,nr,nr
2004,7/22/04,york.ledge,york,4,4,43.092,-70.5915,10,2,12:15,nr,nr,nr,nr,nr,nr,0,0,18,20,0,0,38,0,0,0,1,0,3,0,0,10,8,nr,nr,0,nr,nr,nr,nr
