year,site,exposure,coastal,region,latitude,longitude,depth,time,sand,pebble,rock,cobble,boulder,ledge,sac,alar,agar,ldig,sder,desm,kelp,ulva,chaet,codm,poly,rhod,ptilo,porph,palm,phyc,ccrisp,callo,phyll,coral,bonne,cystoc,urchin,crust,depth.stratumcode,site.number,region.code,date
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,30,0,0,0,0,0,30,0,,0,0,,0,0,0,5,10,,,10,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,20,0,0,0,0,5,20,0,,0,15,,0,0,0,0,0,,,15,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,75,0,0,0,0,0,75,0,,0,20,,0,0,0,0,10,,,10,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,55,0,0,8,0,0,63,0,,0,30,,0,0,6,5,2,,,2,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,50,0,0,3,0,0,53,1,,0,30,,0,0,2,10,1,,,3,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,70,0,0,0,0,0,70,0,,0,20,,0,0,0,10,15,,,10,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,10,0,0,2,0,15,12,0,,0,20,,0,0,0,0,15,,,20,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,65,0,0,0,0,0,65,0,,0,25,,0,0,0,5,20,,,6,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,90,0,0,0,0,0,90,0,,0,50,,0,0,0,3,1,,,5,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,0,0,0,0,0,0,0,0,,0,10,,0,0,0,30,0,,,20,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,40,0,0,0,0,8,40,0,,0,20,,0,0,0,8,15,,,20,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,20,0,0,0,0,0,20,0,,0,30,,0,0,0,10,20,,,5,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,15,0,0,0,0,0,15,0,,0,20,,0,0,0,0,15,,,30,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,75,0,0,10,0,0,85,1,,0,20,,0,0,0,15,5,,,25,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,35,0,5,0,0,0,40,2,,0,25,,0,1,3,2,8,,,25,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,100,0,0,0,0,0,100,2,,0,30,,0,0,0,20,10,,,5,,,,,,,,
1996,Stones Rock,5,4,york,43.1067,-70.6337,10,,,,,,,,30,0,0,0,0,0,30,0,,0,50,,0,0,0,0,15,,,5,,,,,,,,
