term,species,Resid.Df,D,Df.diff,P.val
year,sder,105,13.0069735771854,1,0.00056872480200712
year,desm,104,4.46180523987266,1,0.0375492526744471
year,ulva,104,7.68836312958489,1,0.00656831055535365
year,chaet,104,20.3570479845817,1,2.08831939720044e-05
year,codm,104,9.81289078223005,1,0.00250311971133809
year,poly,104,12.7819255314334,1,0.00056872480200712
year,rhod,104,17.3960538240898,1,6.5748657007092e-05
year,ptilo,104,45.7134916373049,1,1.77940329137982e-10
year,porph,104,29.1767455534376,1,4.29438168525476e-07
year,palm,104,7.91991170711137,1,0.00635617559678839
year,phyc,104,27.5918691040686,1,6.4916444423672e-07
year,ccrisp,104,19.2331842696767,1,3.00780659341804e-05
year,coral,104,2.15984476902449,1,0.141659000577188
region,sder,105,19.8161402714599,5,0.0029314860104845
region,desm,104,11.7812732630773,5,0.0547602159916654
region,ulva,104,16.5728071420681,5,0.0100015635146837
region,chaet,104,10.1141614841657,5,0.078069771808889
region,codm,104,10.2400718135322,5,0.078069771808889
region,poly,104,34.6709077281032,5,7.58416063876647e-06
region,rhod,104,27.7322316570645,5,0.000106752301784407
region,ptilo,104,11.0780589208525,5,0.0648103081140424
region,porph,104,56.2443213928443,5,8.58543902637621e-10
region,palm,104,2.89658367550711,5,0.715925779943443
region,phyc,104,54.9751219769609,5,8.58543902637621e-10
region,ccrisp,104,14.277554878566,5,0.0226512493635214
region,coral,104,29.9740158825189,5,4.85006764404106e-05
year:region,sder,100,0.94217629141675,5,0.967093533395409
year:region,desm,99,13.5661516290538,5,0.0604932269036956
year:region,ulva,99,1.7193932057524,5,0.967093533395409
year:region,chaet,99,28.6546466426413,5,0.000126080884472561
year:region,codm,99,3.96504434113221,5,0.800886144678678
year:region,poly,99,10.5463768466001,5,0.0993750860690844
year:region,rhod,99,2.7678895066758,5,0.956432174653105
year:region,ptilo,99,0.992676813055311,5,0.967093533395409
year:region,porph,99,11.0505217220034,5,0.0935766687862585
year:region,palm,99,11.681033258778,5,0.0935766687862585
year:region,phyc,99,11.3760025665159,5,0.0935766687862585
year:region,ccrisp,99,29.4870450737567,5,0.000126080884472561
year:region,coral,99,28.4970942369023,5,0.000126080884472561
